                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1341,                 3.7892,                 1.6263,                0.50052,                0.77381,                0.64775,                0.35469,                 1.4979,                 2.5444,                 1.2641,                0.00026,                0.00026,                0.00026
                      2,                 1.3539,                 1.1448,                 1.1262,                0.79898,                0.78913,                0.85561,                0.50393,                 1.3841,                 1.5045,                 1.2025,             0.00050901,             0.00050901,             0.00050901
                      3,                 1.2771,                0.90845,                 1.0844,                0.85902,                 0.9088,                0.94314,                0.59239,                 1.3036,                0.92752,                 1.1696,             0.00073664,             0.00073664,             0.00073664
                      4,                 1.2465,                0.82749,                 1.0751,                0.88484,                 0.9256,                0.96354,                0.61391,                 1.2067,                0.79832,                 1.1301,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.2774,                0.77517,                  1.089,                 0.9563,                0.96887,                0.98051,                0.62072,                 1.2271,                0.67749,                 1.1043,              0.0008812,              0.0008812,              0.0008812
                      6,                 1.2786,                0.74802,                  1.074,                0.96342,                0.95667,                0.96177,                0.56979,                 1.3931,                0.72396,                  1.139,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.2058,                0.69356,                 1.0539,                0.96501,                0.98238,                0.98286,                0.66298,                 1.1242,                 0.5964,                 1.0655,               0.000802,               0.000802,               0.000802
                      8,                 1.1759,                0.65497,                 1.0523,                0.94346,                0.96991,                0.98166,                0.66361,                 1.1309,                0.58519,                 1.0564,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.1732,                0.65389,                 1.0494,                0.96349,                0.96744,                0.98104,                0.67088,                 1.1218,                0.58581,                 1.0516,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.1634,                0.63864,                 1.0327,                0.92085,                0.99464,                0.97714,                0.64694,                 1.1643,                0.58532,                 1.0473,              0.0006832,              0.0006832,              0.0006832
                     11,                 1.1439,                0.60873,                 1.0377,                0.96012,                0.97862,                0.98282,                0.67136,                    1.1,                0.55527,                 1.0433,              0.0006436,              0.0006436,              0.0006436
                     12,                 1.1479,                0.60474,                 1.0304,                0.97209,                0.97688,                0.98724,                0.66593,                 1.1498,                0.55298,                 1.0544,               0.000604,               0.000604,               0.000604
                     13,                 1.1289,                0.58965,                 1.0281,                0.96621,                0.97341,                0.98123,                0.68581,                 1.1041,                0.54854,                 1.0428,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.1386,                0.59555,                  1.017,                0.96687,                0.97853,                0.98411,                0.66605,                 1.1442,                0.55409,                 1.0587,              0.0005248,              0.0005248,              0.0005248
                     15,                 1.0978,                0.57372,                 1.0074,                0.98542,                0.98693,                0.98949,                0.69788,                 1.0884,                0.51953,                 1.0328,              0.0004852,              0.0004852,              0.0004852
                     16,                 1.1241,                0.57633,                  1.037,                0.98361,                0.97389,                0.98751,                0.68627,                 1.0997,                0.53603,                 1.0339,              0.0004456,              0.0004456,              0.0004456
                     17,                  1.122,                 0.5694,                  1.043,                0.94648,                0.99067,                0.97977,                0.67076,                 1.0978,                0.53617,                 1.0393,               0.000406,               0.000406,               0.000406
                     18,                 1.0977,                0.54694,                 1.0363,                0.97089,                0.98944,                0.98843,                0.69103,                 1.0721,                0.51901,                   1.03,              0.0003664,              0.0003664,              0.0003664
                     19,                  1.092,                 0.5305,                 1.0362,                0.97322,                0.97408,                0.98778,                0.69458,                 1.0708,                0.51651,                 1.0285,              0.0003268,              0.0003268,              0.0003268
                     20,                 1.0838,                 0.5283,                 1.0297,                0.97734,                0.98892,                0.98928,                0.69132,                 1.0615,                0.50961,                 1.0202,              0.0002872,              0.0002872,              0.0002872
                     21,                 1.0753,                0.51942,                 1.0164,                0.96561,                0.97977,                0.98533,                0.67247,                 1.1138,                0.51202,                 1.0324,              0.0002476,              0.0002476,              0.0002476
                     22,                 1.0777,                0.51606,                 1.0185,                0.96916,                0.97483,                0.98616,                 0.6911,                 1.0842,                 0.5083,                 1.0199,               0.000208,               0.000208,               0.000208
                     23,                 1.0647,                0.50494,                 1.0123,                0.97003,                 0.9808,                0.98391,                0.70106,                 1.0513,                0.48865,                 1.0073,              0.0001684,              0.0001684,              0.0001684
                     24,                 1.0428,                0.49909,                 1.0021,                0.97432,                0.98097,                0.98625,                0.70346,                 1.0561,                0.48503,                 1.0101,              0.0001288,              0.0001288,              0.0001288
                     25,                 1.0462,                0.49101,                 1.0085,                0.98347,                0.97975,                0.98927,                0.70326,                 1.0541,                0.48516,                 1.0087,               8.92e-05,               8.92e-05,               8.92e-05
