                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2656,                 4.1439,                 1.7567,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0766,                 0.0026,                 0.0026
                      2,                 1.7279,                 1.7656,                 1.4679,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.052248,              0.0052475,              0.0052475
                      3,                 1.6257,                 1.4483,                 1.3899,                      0,                      0,                      0,                      0,                 4.1558,                    inf,                 49.002,               0.027842,              0.0078416,              0.0078416
                      4,                 1.5677,                 1.2795,                 1.3786,                0.00019,                0.04192,                0.00013,                  2e-05,                 4.3865,                    inf,                 26.865,               0.009703,               0.009703,               0.009703
                      5,                 1.4575,                 1.1354,                 1.2974,                  6e-05,                0.00888,                  3e-05,                      0,                 4.5575,                 108.27,                 25.906,               0.009604,               0.009604,               0.009604
                      6,                 1.4234,                 1.0419,                 1.2596,                  0.051,                0.37396,                0.07193,                0.01743,                 3.6972,                 3.5877,                 2.7854,               0.009505,               0.009505,               0.009505
                      7,                 1.4229,                0.98459,                 1.2545,                0.39958,                0.48008,                0.48869,                0.22479,                 1.9162,                 2.1099,                 1.6864,               0.009406,               0.009406,               0.009406
                      8,                 1.3757,                0.88987,                 1.2329,                0.63334,                0.79872,                0.78514,                0.44487,                 1.4365,                 1.2135,                 1.3238,               0.009307,               0.009307,               0.009307
                      9,                 1.3361,                 0.8608,                 1.2045,                0.79863,                0.67767,                0.76154,                0.41928,                 1.4533,                 1.2233,                 1.3377,               0.009208,               0.009208,               0.009208
                     10,                 1.3382,                0.85131,                 1.1968,                0.44966,                 0.6862,                0.63932,                0.36851,                 1.4043,                  1.735,                 1.2708,               0.009109,               0.009109,               0.009109
                     11,                 1.2998,                 0.8157,                 1.1719,                0.61956,                0.57378,                0.61417,                0.33619,                   1.83,                 1.5151,                 1.7545,                0.00901,                0.00901,                0.00901
                     12,                 1.2966,                0.79068,                  1.158,                0.50076,                 0.3662,                0.33117,                0.15598,                 2.4044,                 2.5399,                 2.7074,               0.008911,               0.008911,               0.008911
                     13,                  1.307,                0.80169,                 1.1751,                 0.7543,                0.92762,                0.93008,                  0.568,                 1.2943,                0.83631,                 1.2588,               0.008812,               0.008812,               0.008812
                     14,                 1.2901,                0.78729,                 1.1638,                0.93146,                0.97788,                0.97943,                0.62142,                 1.2316,                0.70085,                 1.1452,               0.008713,               0.008713,               0.008713
                     15,                 1.3027,                0.74652,                 1.1552,                0.78057,                0.90869,                0.91531,                0.55059,                 1.2821,                0.88727,                 1.1889,               0.008614,               0.008614,               0.008614
                     16,                 1.2906,                0.74031,                 1.1402,                0.84197,                0.88604,                0.91341,                0.55068,                 1.3401,                0.79071,                  1.243,               0.008515,               0.008515,               0.008515
                     17,                 1.2414,                0.72435,                 1.1318,                0.82459,                0.90702,                0.89823,                0.54354,                 1.2674,                0.90725,                 1.2189,               0.008416,               0.008416,               0.008416
                     18,                 1.2486,                0.69841,                 1.1422,                0.80539,                0.69222,                0.76135,                0.42073,                 1.5026,                 1.1877,                  1.393,               0.008317,               0.008317,               0.008317
                     19,                 1.2502,                0.70552,                  1.144,                  0.895,                0.81381,                0.91891,                 0.5402,                 1.3315,                0.88239,                 1.2654,               0.008218,               0.008218,               0.008218
                     20,                 1.2673,                0.70528,                  1.149,                0.58809,                0.51341,                0.54688,                0.28684,                 1.8449,                 2.0232,                 1.8035,               0.008119,               0.008119,               0.008119
                     21,                 1.2261,                0.69629,                 1.1107,                0.65746,                0.55434,                0.66441,                0.35175,                 1.6259,                 1.4572,                 1.5747,                0.00802,                0.00802,                0.00802
